n_rounds, n_ops_per_round, merge time, comp time, sync time, merge count, real merge time, per-round comp time, average merge time
10,10,0.199055s,0.000317s,10.365173s,17,0.000188s,0.000011s,0.000006s
10,20,0.179128s,0.000551s,18.009388s,9,0.000290s,0.000018s,0.000010s
10,30,0.375981s,0.000738s,25.779406s,9,0.000996s,0.000025s,0.000033s
10,40,0.663570s,0.000892s,40.927273s,45,0.000920s,0.000030s,0.000020s
10,50,0.390559s,0.001090s,42.577759s,11,0.000707s,0.000036s,0.000024s
10,60,1.102913s,0.001330s,59.661700s,14,0.004057s,0.000044s,0.00035s
10,70,0.551863s,0.001744s,66.543558s,13,0.001281s,0.000058s,0.000043s
10,80,20.268729s,0.001977s,168.075286s,748,0.021812s,0.000066s,0.000029s
10,90,3.422198s,0.001899s,107.756674s,86,0.005883s,0.000063s,0.000068s
10,100,7.154490s,0.002096s,129.853824s,238,0.005815s,0.000070s,0.000024s
10,110,7.190966s,0.002447s,131.372202s,177,0.007921s,0.000082s,0.000045s
10,110,30.696717s,0.002543s,236.915408s,1002,0.030519s,0.000085s,0.000030s
10,110,9.105148s,0.002359s,142.905181s,300,0.009107s,0.000079s,0.000030s
10,120,22.390071s,0.002556s,200.997980s,617,0.020931s,0.000085s,0.000034s
10,130,27.237539s,0.002788s,228.810004s,620,0.029741s,0.000093s,0.000048s
10,140,18.353795s,0.002799s,214.642850s,362,0.017929s,0.000093s,0.000050s
10,150,24.070906s,0.002645s,261.911144s,494,0.019175s,0.000088s,0.000039s
