n_rounds, n_ops_per_round, merge time, comp time, sync time, merge count, real merge time, per-round comp time, average merge time
10,10,0.182751s,0.000302s,14.507733s,14,0.000279s,0.000010s,0.000020s
10,10,1.475573s,0.000297s,19.184124s,47,0.003019s,0.000010s,0.000064s
10,10,0.300509s,0.000300s,16.410091s,28,0.000464s,0.000010s,0.000017s
10,20,0.267665s,0.000547s,22.414160s,9,0.000715s,0.000018s,0.000079s
10,20,0.286567s,0.000569s,24.409081s,13,0.000393s,0.000019s,0.000030s
10,20,0.435412s,0.000507s,25.876145s,14,0.000552s,0.000017s,0.000039s
10,30,0.673086s,0.000741s,45.340729s,16,0.000814s,0.000025s,0.000051s
10,30,1.333130s,0.000719s,45.199982s,66,0.002043s,0.000024s,0.000031s
10,30,0.795646s,0.000730s,43.920149s,47,0.000878s,0.000024s,0.000019s
10,40,3.086661s,0.001400s,58.683735s,51,0.019203s,0.000047s,0.000377s
10,40,0.598123s,0.000910s,60.011131s,21,0.000777s,0.000030s,0.000037s
10,40,33.395812s,0.001049s,179.077613s,1253,0.056715s,0.000035s,0.000045s
10,50,0.847640s,0.001255s,68.418125s,8,0.001413s,0.000042s,0.000177s
10,50,3.224155s,0.001272s,78.207819s,93,0.015038s,0.000042s,0.000162s
10,50,0.731874s,0.001195s,73.380976s,21,0.000935s,0.000040s,0.000045s
10,60,6.115450s,0.001335s,107.030251s,242,0.007877s,0.000044s,0.000033s
10,60,0.811508s,0.001434s,80.501944s,19,0.000879s,0.000048s,0.000046s
10,60,1.131277s,0.001365s,64.903921s,39,0.001047s,0.000045s,0.000027s
10,70,6.999923s,0.001585s,113.205599s,240,0.112995s,0.000053s,0.000471s
10,70,3.914319s,0.001787s,110.954933s,143,0.003519s,0.000060s,0.000025s
10,70,4.906307s,0.001824s,109.887405s,206,0.003505s,0.000061s,0.000017s
10,70,1.043126s,0.001680s,97.036155s,6,0.001366s,0.000056s,0.000228s
10,80,1.311722s,0.001938s,105.652975s,15,0.001819s,0.000065s,0.000121s
10,80,161.721338s,0.001801s,624.861556s,1509,0.317670s,0.000060s,0.000211s
10,80,0.652393s,0.002024s,86.794464s,10,0.001804s,0.000067s,0.000180s
10,90,39.839060s,0.002074s,269.039725s,1254,0.045611s,0.000069s,0.000036s
10,90,2.646304s,0.001919s,104.992575s,67,0.004270s,0.000064s,0.000064s
10,90,7.284396s,0.001930s,147.706388s,236,0.006618s,0.000064s,0.000028s
10,100,25.782390s,0.002559s,242.373129s,617,0.033343s,0.000085s,0.000054s
10,100,46.679390s,0.002633s,307.976060s,744,0.074521s,0.000088s,0.000100s
10,100,86.276016s,0.002418s,461.764092s,1508,0.126942s,0.000081s,0.000084s
10,110,22.830848s,0.002630s,230.918930s,620,0.024698s,0.000088s,0.000040s
10,110,0.690759s,0.002494s,112.085015s,3,0.002710s,0.000083s,0.000903s
10,110,0.573379s,0.002331s,103.373734s,4,0.000691s,0.000078s,0.000173s
10,120,9.494100s,0.002423s,162.157051s,210,0.011774s,0.000081s,0.000056s
10,120,46.319876s,0.002892s,334.843039s,743,0.053654s,0.000096s,0.000072s
10,120,0.784443s,0.003512s,163.540523s,2,0.001410s,0.000117s,0.000705s
10,130,0.705759s,0.003136s,167.327582s,2,0.000896s,0.000105s,0.000448s
10,130,206.501818s,0.003299s,832.081541s,2530,0.854135s,0.000110s,0.000338s

n_rounds, n_ops_per_round, merge time, comp time, sync time, merge count, real merge time, per-round comp time, average merge time (old), average merge time (new)
10,10,0.126737s,0.000296s,11.089010s,12,0.000131s,0.000010s,0.000004s,0.000011s
10,10,0.196522s,0.000411s,11.939416s,44,0.000330s,0.000014s,0.000007s,0.000007s
10,10,0.177503s,0.000378s,10.771359s,10,0.000179s,0.000013s,0.000006s,0.000018s
10,20,0.156457s,0.000549s,18.906196s,5,0.000150s,0.000018s,0.000005s,0.000030s
10,20,0.350640s,0.000727s,19.155633s,17,0.000616s,0.000024s,0.000021s,0.000036s
10,20,0.384524s,0.000765s,20.005861s,20,0.000396s,0.000025s,0.000013s,0.000020s
10,30,0.496815s,0.000774s,28.011481s,26,0.001060s,0.000026s,0.000035s,0.000041s
10,30,0.240161s,0.000740s,23.845334s,7,0.000323s,0.000025s,0.000011s,0.000046s
10,30,0.258638s,0.000759s,26.529964s,10,0.000240s,0.000025s,0.000008s,0.000024s
10,40,0.335466s,0.001008s,36.434013s,14,0.001158s,0.000034s,0.000039s,0.000083s
10,40,0.475932s,0.001096s,34.457088s,10,0.001521s,0.000037s,0.000051s,0.000152s
10,40,0.307930s,0.001117s,31.818529s,10,0.000626s,0.000037s,0.000021s,0.000063s
10,50,0.342351s,0.001349s,42.654197s,7,0.000415s,0.000045s,0.000014s,0.000059s
10,50,2.981769s,0.001209s,57.185605s,241,0.002943s,0.000040s,0.000012s,0.000012s
10,50,0.513783s,0.001163s,46.018787s,10,0.001492s,0.000039s,0.000050s,0.000149s
10,60,1.343026s,0.001251s,73.959422s,13,0.005166s,0.000042s,0.000172s,0.000397s
10,60,0.486176s,0.001316s,60.855562s,4,0.000617s,0.000044s,0.000021s,0.000154s
10,60,0.299094s,0.001391s,57.648361s,3,0.000356s,0.000046s,0.000012s,0.000119s
10,70,0.782318s,0.001768s,74.275563s,16,0.002164s,0.000059s,0.000072s,0.000135s
10,70,0.916065s,0.001494s,66.976605s,33,0.001352s,0.000050s,0.000041s,0.000041s
10,70,0.882107s,0.001786s,71.020143s,22,0.001490s,0.000060s,0.000050s,0.000068s
10,80,0.779652s,0.002068s,80.544672s,7,0.001153s,0.000069s,0.000038s,0.000165s

Following is after the head change

n_rounds, n_ops_per_round, merge time, comp time, sync time, merge count, real merge time, per-round comp time, average merge time (old), average merge time (new)
10,10,0.855361s,0.000348s,12.796524s,23,0.001646s,0.000012s,0.000055s,0.000072s
10,10,0.214184s,0.000335s,10.918080s,11,0.000508s,0.000011s,0.000017s,0.000046s
10,10,0.548593s,0.000324s,12.298917s,34,0.000868s,0.000011s,0.000026s,0.000026s
10,20,0.179034s,0.000519s,19.438379s,3,0.000503s,0.000017s,0.000017s,0.000168s
10,20,0.377806s,0.000685s,19.846084s,19,0.000375s,0.000023s,0.000012s,0.000020s
10,20,0.436530s,0.000690s,19.179015s,24,0.000467s,0.000023s,0.000016s,0.000019s
10,30,1.097045s,0.000797s,30.851271s,24,0.002666s,0.000027s,0.000089s,0.000111s
10,30,0.201339s,0.000932s,28.471993s,6,0.000201s,0.000031s,0.000007s,0.000034s
10,30,2.125156s,0.000908s,33.825529s,40,0.006784s,0.000030s,0.000170s,0.000170s
10,40,172.778796s,0.001042s,516.776601s,1764,0.369114s,0.000035s,0.000209s,0.000209s
10,40,0.339079s,0.001069s,40.192099s,11,0.000815s,0.000036s,0.000027s,0.000074s
10,40,1.185821s,0.001092s,39.575630s,18,0.006534s,0.000036s,0.000218s,0.000363s
10,50,0.387964s,0.001212s,51.174528s,7,0.000403s,0.000040s,0.000013s,0.000058s
