no_r, no_op_r, merge_t, comp_t, sync_t, merge_c, real_merge_t,per_r_co,,avg-merg,,avg-merg2
10,10,0.011532s,0.000166s,0.367103s,8,0.000143s,0.000006,6.33E-06,0.000005,6.67E-06,0.000018s
10,10,0.010940s,0.000186s,0.373129s,9,0.000163s,0.000006,,0.000005,,0.000018s
10,10,0.019118s,0.000217s,0.522824s,17,0.000297s,0.000007,,0.00001,,0.000017s
10,20,0.024323s,0.000256s,0.625002s,7,0.000307s,0.000009,8.67E-06,0.00001,9.67E-06,0.000044s
10,20,0.023729s,0.000228s,0.793470s,7,0.000283s,0.000008,,0.000009,,0.000040s
10,20,0.019586s,0.000265s,0.586801s,13,0.000293s,0.000009,,0.00001,,0.000023s
10,30,0.034459s,0.000293s,0.756055s,21,0.000476s,0.00001,9.67E-06,0.000016,1.40E-05,0.000023s
10,30,0.019473s,0.000278s,0.580533s,12,0.000294s,0.000009,,0.00001,,0.000025s
10,30,0.045318s,0.000294s,0.837840s,19,0.000488s,0.00001,,0.000016,,0.000026s
10,40,0.025227s,0.000345s,1.012381s,6,0.000379s,0.000012,1.20E-05,0.000013,1.37E-05,0.000063s
10,40,0.027399s,0.000353s,0.716894s,14,0.000543s,0.000012,,0.000018,,0.000039s
10,40,0.020562s,0.000368s,0.867146s,7,0.000310s,0.000012,,0.00001,,0.000044s
10,50,0.322712s,0.000382s,2.957618s,205,0.004820s,0.000013,1.27E-05,0.000024,1.73E-05,0.000024s
10,50,0.041394s,0.000351s,1.357499s,8,0.000520s,0.000012,,0.000017,,0.000065s
10,50,0.025810s,0.000391s,1.283613s,8,0.000319s,0.000013,,0.000011,,0.000040s
10,60,0.026087s,0.000466s,1.284563s,5,0.000343s,0.000016,1.43E-05,0.000011,2.00E-05,0.000069s
10,60,0.039694s,0.000428s,1.254436s,11,0.000678s,0.000014,,0.000023,,0.000062s
10,60,0.064701s,0.000400s,1.141899s,14,0.000766s,0.000013,,0.000026,,0.000055s
10,70,0.032483s,0.000444s,1.107168s,9,0.000418s,0.000015,1.53E-05,0.000014,2.10E-05,0.000046s
10,70,0.066105s,0.000481s,1.219605s,14,0.000786s,0.000016,,0.000026,,0.000056s
10,70,0.056015s,0.000445s,1.550426s,12,0.000699s,0.000015,,0.000023,,0.000058s
10,80,0.035907s,0.000589s,1.153632s,8,0.000468s,0.00002,2.10E-05,0.000016,2.10E-05,0.000058s
10,80,0.050639s,0.000578s,1.139154s,16,0.000693s,0.000019,,0.000023,,0.000043s
10,80,0.049496s,0.000722s,1.269698s,16,0.000707s,0.000024,,0.000024,,0.000044s
10,90,0.048546s,0.000603s,1.708651s,7,0.000654s,0.00002,3.53E-05,0.000022,2.97E-05,0.000093s
10,90,0.043139s,0.000632s,2.067744s,5,0.000508s,0.000021,,0.000017,,0.000102s
10,90,0.119269s,0.001950s,2.235329s,10,0.001487s,0.000065,,0.00005,,0.000149s
10,100,0.047649s,0.000678s,1.878114s,6,0.000610s,0.000023,2.23E-05,0.00002,2.70E-05,0.000102s
10,100,0.061823s,0.000706s,1.831517s,12,0.000877s,0.000024,,0.000029,,0.000073s
10,100,0.089646s,0.000601s,2.132684s,13,0.000947s,0.00002,,0.000032,,0.000073s
10,110,0.044861s,0.000644s,1.721380s,6,0.000639s,0.000021,2.23E-05,0.000021,3.30E-05,0.000107s
10,110,0.095313s,0.000712s,1.722643s,21,0.001355s,0.000024,,0.000045,,0.000065s
10,110,0.073770s,0.000670s,1.750507s,15,0.000991s,0.000022,,0.000033,,0.000066s
10,120,0.044636s,0.000923s,2.777513s,4,0.000676s,0.000031,2.67E-05,0.000023,2.73E-05,0.000169s
10,120,0.052135s,0.000727s,1.915945s,7,0.000711s,0.000024,,0.000024,,0.000102s
10,120,0.078993s,0.000745s,1.598992s,15,0.001058s,0.000025,,0.000035,,0.000071s
10,130,0.103892s,0.000862s,2.132219s,10,0.001234s,0.000029,2.73E-05,0.000041,3.53E-05,0.000123s
10,130,0.066727s,0.000804s,2.093544s,9,0.001064s,0.000027,,0.000035,,0.000118s
10,130,0.065274s,0.000769s,1.814549s,8,0.000886s,0.000026,,0.00003,,0.000111s
10,140,0.122630s,0.000863s,4.619660s,15,0.002023s,0.000029,2.87E-05,0.000067,4.37E-05,0.000135s
10,140,0.080075s,0.000920s,1.689756s,14,0.000950s,0.000031,,0.000032,,0.000068s
10,140,0.074628s,0.000792s,2.378429s,7,0.000965s,0.000026,,0.000032,,0.000138s
10,150,0.100034s,0.001995s,3.194134s,7,0.001399s,0.000067,4.13E-05,0.000047,3.37E-05,0.000200s
10,150,0.061992s,0.000917s,2.448035s,7,0.000883s,0.000031,,0.000029,,0.000126s
10,150,0.058867s,0.000785s,2.026781s,8,0.000738s,0.000026,,0.000025,,0.000092s
