n_rounds, n_ops_per_round, merge time, comp time, sync time, merge count, real merge time, per-round comp time, average merge time
10,10,0.325878s,0.000581s,2.127290s,14,0.000961s,0.000019s,0.000032s
10,10,0.154787s,0.000491s,1.432645s,12,0.000607s,0.000016s,0.000020s
10,10,0.075614s,0.000753s,1.408674s,10,0.000416s,0.000025s,0.000014s
10,20,0.646744s,0.003476s,5.167896s,17,0.002414s,0.000116s,0.000080s
10,20,1.381995s,0.004470s,8.367619s,14,0.004264s,0.000149s,0.000142s
10,20,2.098384s,0.002168s,8.340476s,25,0.008924s,0.000072s,0.000297s
10,30,2.995470s,0.020357s,26.706196s,31,0.010847s,0.000679s,0.000350s
10,30,0.313046s,0.003892s,4.356504s,7,0.001231s,0.000130s,0.000041s
10,30,19.743959s,0.011066s,55.197306s,31,0.055268s,0.000369s,0.001783s
10,40,13.384445s,0.045625s,58.048181s,35,0.040545s,0.001521s,0.001158s
10,40,16.004583s,0.020684s,47.408860s,28,0.048929s,0.000689s,0.001631s
10,40,3.490415s,0.013419s,18.462783s,9,0.008727s,0.000447s,0.000291s
10,50,2.060708s,0.026946s,16.878563s,10,0.005917s,0.000898s,0.000197s
10,50,10.726801s,0.039079s,44.405187s,22,0.042756s,0.001303s,0.001425s
10,50,6.214574s,0.026351s,29.937581s,11,0.014216s,0.000878s,0.000474s
10,60,0.699501s,0.024444s,12.527906s,12,0.002408s,0.000815s,0.000080s
10,60,5.489164s,0.071757s,48.470040s,17,0.016971s,0.002392s,0.000566s
10,60,1.843125s,0.087067s,54.047945s,8,0.006401s,0.002902s,0.000213s
10,70,0.009619s,0.009090s,4.077364s,2,0.000036s,0.000303s,0.000001s
10,70,0.809144s,0.043782s,25.713110s,10,0.003722s,0.001459s,0.000124s
10,70,4.756675s,0.037575s,31.161515s,8,0.013011s,0.001253s,0.000434s
10,80,0.620898s,0.037018s,19.619279s,11,0.002306s,0.001234s,0.000077s
10,80,28.844345s,0.150684s,95.248103s,24,0.064796s,0.005023s,0.002160s
10,80,1.867154s,0.040697s,20.967789s,9,0.006194s,0.001357s,0.000206s
10,90,0.611374s,0.048890s,24.891435s,11,0.002460s,0.001630s,0.000082s
10,90,1.760589s,0.124508s,59.972835s,11,0.005921s,0.004150s,0.000197s
10,90,0.514237s,0.055099s,25.144097s,5,0.001928s,0.001837s,0.000064s
