n_rounds, n_ops_per_round, merge time, comp time, sync time, merge count, real merge time, per-round comp time, average merge time
10,10,0.051205s,0.000412s,0.771364s,9,0.000251s,0.000014s,0.000028s
10,10,0.120634s,0.000334s,0.971294s,14,0.000488s,0.000011s,0.000035s
10,10,0.213526s,0.000556s,1.678797s,45,0.001162s,0.000019s,0.000026s
10,20,0.072024s,0.000773s,1.182002s,8,0.000342s,0.000026s,0.000043s
10,20,7.014136s,0.005418s,22.904835s,34,0.012244s,0.000181s,0.000360s
10,20,0.207646s,0.000754s,1.694228s,29,0.001087s,0.000025s,0.000037s
10,30,0.053767s,0.001731s,1.463061s,5,0.000278s,0.000058s,0.000056s
10,30,2.275166s,0.015261s,14.258350s,16,0.004059s,0.000509s,0.000254s
10,30,0.439637s,0.003603s,4.080765s,20,0.001511s,0.000120s,0.000076s
10,40,0.653005s,0.002876s,3.635220s,15,0.001670s,0.000096s,0.000111s
10,40,0.179687s,0.003140s,2.103147s,7,0.000549s,0.000105s,0.000078s
10,40,0.117299s,0.003074s,2.270793s,6,0.000450s,0.000102s,0.000075s
10,50,1.053934s,0.008492s,6.610011s,10,0.002881s,0.000283s,0.000288s
10,50,3.897315s,0.016274s,16.465356s,16,0.006799s,0.000542s,0.000425s
10,50,0.228944s,0.004680s,2.571322s,6,0.000757s,0.000156s,0.000126s
10,60,0.927804s,0.015831s,10.537583s,10,0.002494s,0.000528s,0.000249s
10,60,0.912209s,0.006647s,6.642972s,15,0.001942s,0.000222s,0.000129s
10,60,1.217311s,0.058522s,34.332514s,29,0.003461s,0.001951s,0.000119s
10,70,0.313648s,0.009320s,5.585306s,6,0.000807s,0.000311s,0.000134s
10,70,0.471244s,0.009608s,5.302874s,9,0.001234s,0.000320s,0.000137s
10,70,71.938057s,0.035795s,202.336730s,301,0.089855s,0.001193s,0.000299s
10,80,0.747464s,0.012121s,6.567863s,10,0.001638s,0.000404s,0.000164s
10,80,0.659085s,0.012807s,6.923429s,9,0.001346s,0.000427s,0.000150s
10,80,0.540226s,0.011832s,6.412014s,7,0.001162s,0.000394s,0.000166s
10,90,1.526271s,0.017440s,10.045073s,14,0.002832s,0.000581s,0.000202s
10,90,0.776238s,0.016596s,7.367134s,8,0.001457s,0.000553s,0.000182s
10,90,0.364519s,0.016440s,5.907853s,6,0.000836s,0.000548s,0.000139s
10,100,0.297372s,0.017601s,7.655231s,7,0.000882s,0.000587s,0.000126s
10,100,0.890969s,0.101445s,43.671598s,19,0.002920s,0.003382s,0.000154s
10,100,32.830987s,0.070198s,105.459478s,98,0.038703s,0.002340s,0.000395s
10,110,0.799279s,0.023224s,10.977338s,10,0.001561s,0.000774s,0.000156s
10,110,10.041303s,0.049198s,36.287832s,33,0.015639s,0.001640s,0.000474s
10,110,6.405921s,0.022987s,23.963141s,38,0.008548s,0.000766s,0.000225s
10,120,1.136022s,0.028377s,9.376172s,9,0.002277s,0.000946s,0.000253s
10,120,0.413496s,0.052424s,16.819142s,7,0.000980s,0.001747s,0.000140s
10,120,17.027247s,0.036250s,57.210011s,70,0.021645s,0.001208s,0.000309s
10,130,6.551122s,0.028335s,26.645054s,31,0.008789s,0.000944s,0.000284s
10,130,31.452634s,0.037316s,93.831632s,112,0.037046s,0.001244s,0.000331s
10,130,5.456219s,0.035411s,23.879034s,24,0.007086s,0.001180s,0.000295s
10,140,37.267455s,0.076947s,113.551921s,98,0.045258s,0.002565s,0.000462s
10,140,0.389220s,0.049880s,15.476609s,8,0.001122s,0.001663s,0.000140s
10,140,3.162993s,0.040845s,18.663914s,12,0.004412s,0.001361s,0.000368s
10,150,0.354479s,0.042213s,12.637966s,6,0.000890s,0.001407s,0.000148s
10,150,1.269645s,0.055176s,16.992767s,7,0.002285s,0.001839s,0.000326s
10,150,12.674120s,0.048800s,46.868126s,38,0.016936s,0.001627s,0.000446s
