n_rounds, n_ops_per_round, merge time, comp time, sync time, merge count, real merge time, per-round comp time, average merge time
10,10,0.085117s,0.000413s,0.792939s,14,0.000499s,0.000014s,0.000036s
10,10,0.480440s,0.001262s,4.060694s,46,0.001632s,0.000042s,0.000035s
10,10,0.136068s,0.000479s,1.439666s,22,0.000735s,0.000016s,0.000033s
10,20,38.716236s,0.014328s,96.186712s,95,0.051491s,0.000478s,0.000542s
10,20,0.059452s,0.000807s,1.048201s,8,0.000278s,0.000027s,0.000035s
10,20,0.105428s,0.006566s,1.176235s,8,0.000388s,0.000219s,0.000049s
10,30,0.206136s,0.001818s,2.048381s,11,0.000781s,0.000061s,0.000071s
10,30,1.599400s,0.005718s,9.282726s,13,0.004174s,0.000191s,0.000321s
10,30,0.123194s,0.001827s,1.659854s,9,0.000456s,0.000061s,0.000051s
10,40,3.579326s,0.030693s,21.923546s,15,0.007728s,0.001023s,0.000515s
10,40,0.076523s,0.003188s,2.202272s,5,0.000367s,0.000106s,0.000073s
10,40,0.474415s,0.007554s,6.313905s,14,0.001470s,0.000252s,0.000105s
10,50,3.904822s,0.016096s,16.360569s,29,0.006650s,0.000537s,0.000229s
10,50,0.742554s,0.006309s,4.325203s,16,0.002001s,0.000210s,0.000125s
10,50,0.658973s,0.013220s,8.220523s,10,0.001405s,0.000441s,0.000141s
10,60,0.261800s,0.006475s,4.044351s,6,0.000666s,0.000216s,0.000111s
10,60,87.949141s,0.590549s,304.903382s,72,0.163574s,0.019685s,0.002272s
10,60,1.460019s,0.022657s,15.153745s,14,0.003361s,0.000755s,0.000240s
10,70,40.400523s,0.275143s,156.425874s,143,0.065328s,0.009171s,0.000457s
10,80,0.802981s,0.023775s,11.814958s,9,0.001603s,0.000793s,0.000178s
10,80,35.079166s,0.082060s,111.401623s,174,0.050720s,0.002735s,0.000291s
10,80,2.674942s,0.057108s,23.376495s,11,0.006225s,0.001904s,0.000566s
10,80,83.122901s,0.104570s,206.980322s,56,0.152117s,0.003486s,0.002716s
10,90,53.684907s,0.020566s,150.126636s,300,0.067682s,0.000686s,0.000226s
10,90,1.139090s,0.051826s,29.475946s,15,0.002931s,0.001728s,0.000195s
10,90,2.893807s,0.050208s,29.659771s,10,0.006197s,0.001674s,0.000620s
