n_rounds, n_ops_per_round, merge time, comp time, sync time, merge count, real merge time, per-round comp time, average merge time
10,10,0.597789s,0.000234s,4.209204s,111,0.000913s,0.000008s,0.000008s
10,20,0.757316s,0.000310s,4.553018s,21,0.000444s,0.000010s,0.000015s
10,30,0.332257s,0.000375s,4.531507s,10,0.000224s,0.000012s,0.000007s
10,40,1.000148s,0.000480s,7.648412s,17,0.000731s,0.000016s,0.000024s
10,50,0.777689s,0.000632s,7.227121s,13,0.000500s,0.000021s,0.000017s
10,60,0.815011s,0.000630s,7.722148s,12,0.000643s,0.000021s,0.000021s
10,70,1.177226s,0.000757s,10.885065s,18,0.000734s,0.000025s,0.000024s
10,80,1.086823s,0.000799s,13.181617s,23,0.000732s,0.000027s,0.000024s
10,90,2.787712s,0.000852s,17.368025s,24,0.001695s,0.000028s,0.000057s
10,100,4.606687s,0.001269s,26.518256s,29,0.003075s,0.000042s,0.000103s
10,110,3.128780s,0.001366s,21.182928s,14,0.001681s,0.000046s,0.000056s
10,120,1.329729s,0.001289s,19.584247s,7,0.000677s,0.000043s,0.000023s
10,130,7.972722s,0.001350s,40.861417s,31,0.004213s,0.000045s,0.000136s
10,140,1.945006s,0.001377s,22.322866s,8,0.000866s,0.000046s,0.000029s
10,150,1.475493s,0.001601s,23.430807s,7,0.000820s,0.000053s,0.000027s



10,10,0.085664s,0.000240s,1.093486s,10,0.000116s,0.000008s,0.000012s
10,10,0.066214s,0.005408s,0.922228s,7,0.000098s,0.000180s,0.000014s
10,10,0.113638s,0.000280s,1.409261s,9,0.000139s,0.000009s,0.000015s
10,20,0.147863s,0.000364s,2.025679s,8,0.000175s,0.000012s,0.000022s
10,20,0.189858s,0.000345s,1.985162s,10,0.000217s,0.000011s,0.000022s
10,20,0.425983s,0.000363s,3.041079s,22,0.000441s,0.000012s,0.000020s
10,30,0.996522s,0.000457s,4.421622s,34,0.001303s,0.000015s,0.000038s
10,30,0.979680s,0.000545s,5.523999s,34,0.001085s,0.000018s,0.000032s
10,30,0.381437s,0.000509s,3.660249s,12,0.000448s,0.000017s,0.000037s
10,40,1.140621s,0.000650s,6.861138s,22,0.001197s,0.000022s,0.000054s
10,40,0.489729s,0.000721s,4.911858s,21,0.000668s,0.000024s,0.000032s
10,40,0.347743s,0.000742s,4.318909s,11,0.000564s,0.000025s,0.000051s
10,50,0.512981s,0.000814s,4.829384s,12,0.000683s,0.000027s,0.000057s
10,50,1.095102s,0.000864s,7.212053s,22,0.001270s,0.000029s,0.000058s
10,50,0.938088s,0.000881s,6.962585s,26,0.001239s,0.000029s,0.000048s
10,60,0.442215s,0.000976s,6.248462s,10,0.000473s,0.000033s,0.000047s
10,60,1.445253s,0.000945s,9.464077s,21,0.001369s,0.000031s,0.000065s
10,60,0.381425s,0.001075s,5.846237s,6,0.000396s,0.000036s,0.000066s
10,70,0.499914s,0.001196s,7.626945s,8,0.000572s,0.000040s,0.000071s
10,70,1.184160s,0.001134s,9.746971s,26,0.001382s,0.000038s,0.000053s
10,70,0.510890s,0.001169s,7.197361s,7,0.000559s,0.000039s,0.000080s
10,80,0.942307s,0.001422s,9.441998s,13,0.000873s,0.000047s,0.000067s
10,80,0.929402s,0.001484s,8.910494s,8,0.000753s,0.000049s,0.000094s
10,80,1.185701s,0.001366s,11.038351s,23,0.001439s,0.000046s,0.000063s
10,90,0.896518s,0.001590s,10.480457s,8,0.000846s,0.000053s,0.000106s
10,90,1.803665s,0.001709s,14.746555s,19,0.001893s,0.000057s,0.000100s
10,90,1.148846s,0.001579s,13.090641s,12,0.001028s,0.000053s,0.000086s
10,100,1.666817s,0.001788s,15.371729s,10,0.001312s,0.000060s,0.000131s
10,100,2.567336s,0.001693s,14.414744s,21,0.002122s,0.000056s,0.000101s
10,100,1.754142s,0.001691s,16.151657s,14,0.001847s,0.000056s,0.000132s
10,110,1.571025s,0.001957s,16.011670s,9,0.001165s,0.000065s,0.000129s
10,110,5.283322s,0.001846s,29.685056s,45,0.004736s,0.000062s,0.000105s
10,110,2.388264s,0.001864s,16.322845s,15,0.001844s,0.000062s,0.000123s
10,120,3.109822s,0.001595s,17.125586s,19,0.002007s,0.000053s,0.000106s
10,120,2.972093s,0.001511s,15.653120s,17,0.002025s,0.000050s,0.000119s
