no_r, no_op_r, merge_t, comp_t, sync_t, merge_c, real_merge_t,per_r_co,,avg-merg,,avg-merg2
10,10,0.066301s,0.000319s,1.300254s,7,0.000360s,0.000011,1.03333E-05,0.000012,1.23333E-05,0.000051s
10,10,0.099982s,0.000289s,1.378340s,8,0.000333s,0.00001,,0.000011,,0.000042s
10,10,0.128985s,0.000299s,1.548488s,13,0.000416s,0.00001,,0.000014,,0.000032s
10,20,0.416794s,0.000460s,2.959583s,18,0.001094s,0.000015,1.46667E-05,0.000036,5.36667E-05,0.000061s
10,20,0.832749s,0.000456s,4.685037s,36,0.002521s,0.000015,,0.00007,,0.000070s
10,20,0.515526s,0.000429s,3.549197s,21,0.001640s,0.000014,,0.000055,,0.000078s
10,30,0.642441s,0.000718s,5.319186s,33,0.002109s,0.000024,2.26667E-05,0.000064,0.000064,0.000064s
10,30,0.896536s,0.000678s,5.720170s,20,0.002895s,0.000023,,0.000097,,0.000145s
10,30,0.260962s,0.000617s,4.195867s,11,0.000940s,0.000021,,0.000031,,0.000085s
10,40,0.473652s,0.000779s,4.621825s,12,0.001225s,0.000026,2.53333E-05,0.000041,5.66667E-05,0.000102s
10,40,0.677108s,0.000778s,5.808330s,16,0.001859s,0.000026,,0.000062,,0.000116s
10,40,0.584147s,0.000721s,4.629729s,11,0.002016s,0.000024,,0.000067,,0.000183s
10,50,0.361635s,0.001084s,5.857397s,10,0.000930s,0.000036,4.23333E-05,0.000031,6.06667E-05,0.000093s
10,50,1.034271s,0.001821s,8.947437s,17,0.003375s,0.000061,,0.000112,,0.000199s
10,50,0.320250s,0.000891s,5.781316s,10,0.001158s,0.00003,,0.000039,,0.000116s
10,60,0.574862s,0.001223s,8.381907s,8,0.001512s,0.000041,0.000049,0.00005,7.43333E-05,0.000189s
10,60,1.375358s,0.001239s,10.083791s,14,0.004362s,0.000041,,0.000145,,0.000312s
10,60,0.449302s,0.001958s,7.395644s,6,0.000846s,0.000065,,0.000028,,0.000141s
10,70,0.610240s,0.001380s,9.524001s,9,0.001480s,0.000046,5.03333E-05,0.000049,5.83333E-05,0.000164s
10,70,0.623967s,0.001801s,9.775032s,11,0.001604s,0.00006,,0.000053,,0.000146s
10,70,0.589593s,0.001343s,8.234678s,10,0.002182s,0.000045,,0.000073,,0.000218s
10,80,5.516441s,0.001997s,28.161786s,35,0.016604s,0.000067,5.86667E-05,0.000474,0.000318,0.000474s
10,80,0.526919s,0.001423s,9.420548s,7,0.001663s,0.000047,,0.000055,,0.000238s
10,80,19.730320s,0.001866s,59.792879s,112,0.047644s,0.000062,,0.000425,,0.000425s
10,90,3.465803s,0.001941s,21.078521s,50,0.010628s,0.000065,6.36667E-05,0.000213,0.000190667,0.000213s
10,90,0.821636s,0.001968s,10.808496s,6,0.002320s,0.000066,,0.000077,,0.000387s
10,90,4.009934s,0.001803s,20.703242s,24,0.008468s,0.00006,,0.000282,,0.000353s
10,100,2.166014s,0.002081s,17.381805s,13,0.006765s,0.000069,0.000068,0.000226,0.000227667,0.000520s
10,100,3.538431s,0.001997s,22.651689s,27,0.008531s,0.000067,,0.000284,,0.000316s
10,100,2.900522s,0.002039s,18.721805s,14,0.005179s,0.000068,,0.000173,,0.000370s
10,110,2.361036s,0.002031s,20.745135s,11,0.006553s,0.000068,7.16667E-05,0.000218,0.000231667,0.000596s
10,110,2.895734s,0.002325s,19.369814s,12,0.006214s,0.000077,,0.000207,,0.000518s
10,110,2.853051s,0.002103s,19.271917s,11,0.008115s,0.00007,,0.00027,,0.000738s
10,120,18.731729s,0.002495s,60.980466s,58,0.041526s,0.000083,0.000081,0.000716,0.000319667,0.000716s
10,120,1.476793s,0.002156s,17.267434s,8,0.003498s,0.000072,,0.000117,,0.000437s
10,120,1.789650s,0.002643s,21.383010s,8,0.003765s,0.000088,,0.000126,,0.000471s
10,130,1.237191s,0.002785s,19.337266s,11,0.005171s,0.000093,0.000101667,0.000172,0.000340333,0.000470s
10,130,0.959428s,0.003023s,18.649251s,5,0.002422s,0.000101,,0.000081,,0.000484s
10,130,21.715288s,0.003342s,69.679346s,68,0.052216s,0.000111,,0.000768,,0.000768s
10,140,73.206713s,0.002621s,204.629182s,182,0.133947s,0.000087,0.000099,0.000736,0.000708667,0.000736s
10,140,10.105652s,0.003258s,39.307718s,24,0.025709s,0.000109,,0.000857,,0.001071s
10,140,6.133252s,0.003044s,34.174852s,29,0.015987s,0.000101,,0.000533,,0.000551s
10,150,6.645230s,0.003595s,35.054299s,22,0.017000s,0.00012,0.000111667,0.000567,0.000588,0.000773s
10,150,3.466734s,0.002947s,27.433957s,12,0.009720s,0.000098,,0.000324,,0.000810s
10,150,12.983701s,0.003514s,55.933763s,24,0.026187s,0.000117,,0.000873,,0.001091s


